,id,value,first_seen,last_seen,relationship_count,detections_count
0,aa4c1b9a-af0b-3c8e-882b-e8982ce66b7d,a5add1e6ba24ede1cc05cfb4839a85b7,2020-08-05,2021-03-04,1,0
1,029ffc48-ac9c-3651-ba6d-1fc1d1973381,32d264b58dd8ce560c024bf1d0cfab4f,2020-08-05,2021-03-04,1,0
2,0fd3e4ec-9e9b-3d07-b917-d69186ae3c9f,89.161.153.74,2020-08-05,2021-03-04,1,0
3,88ac1cd4-18d6-3bb3-a258-422d49d2bb12,203.92.62.46,2020-08-05,2021-03-04,1,0
4,32db03a5-fd89-33ed-841d-6f317d4c8134,5bc76253c967761f8516e3646cc2c3ac,2020-08-05,2021-03-04,1,0
5,33959af9-32d1-34b3-a765-5e07770d169f,cd9b8ed705fb1f5a927f0c5ad4a9c999,2020-08-05,2021-03-04,1,0
6,2d0de4f1-320b-313e-bc71-ec401af8f28c,b2ed3fe1bed32cec084b0613b11f667e,2020-08-05,2021-03-04,1,0
7,09aa5233-e384-3289-b624-e52ab059850e,abc9bfbdc3c3d3da036d78f66ca923f4,2020-08-05,2021-03-04,1,0
8,4095dc87-4116-3fba-9255-feada121f983,47d9e7c464927052ca0d22af7ad61f5d,2020-08-05,2021-03-04,1,0
9,9b2171e4-5f9e-312a-a850-2024f025f998,3dc2344d736f2d0233a63fa018efd5e1,2020-08-05,2021-03-04,1,0
10,276a932e-303a-395d-aa9e-f9e30ea02789,61a8f4916f0a21517640dfbac4430105,2020-08-05,2021-03-04,1,0
11,1ff270b4-4379-3443-a093-02e6b9d865e4,060db39fa8085805f4b993bf7471b2d9,2020-08-05,2021-03-04,1,0
12,05bde13f-dd8d-3bf8-9d5d-777a5b006268,988cf44a4b2d8de04b5a0adeefe6a1e6,2020-08-05,2021-03-04,1,0
13,ec89a8e1-79c7-385c-81f1-d97b96241034,5.12.28.0,2020-08-05,2021-03-04,2,0
14,f0bb7731-2a47-3a92-ae8b-caa0db457dd6,023938154103350fe51e345713debb85,2020-08-05,2021-03-04,1,0
15,86b81031-921b-3b15-8490-9000231fdb43,http://lamweb123.net/HJGv7hg,2020-08-05,2021-03-04,1,0
16,62df4ea2-65f5-31e3-b9da-43e3442512ac,637d0a46e1d11a34924c2d8dd55db856,2020-08-05,2021-03-04,1,0
17,95d7a07d-1e60-3015-816c-d5863b15fe7e,http://lsity.ru/56evcxv,2020-08-05,2021-03-04,1,0
18,3c2228a5-bdce-3044-8ae9-fc7bf306fbbb,c03c1dcd7936743ea18d25fa241f514a,2020-08-05,2021-03-04,1,0
19,7d20191f-d7bf-3409-9d36-1035c49e0d90,b1be9792db9828c8b90f8f56bd6bfe5e,2020-08-05,2021-03-04,1,0
20,0f7673c7-01ab-3dfb-8d6d-2280564c492c,b6f8022e673f87c11c630f4cc3114304,2020-08-05,2021-03-04,1,0
21,9c5bb4a7-6585-37d3-b6fb-347352c61d81,0294816cbe0463cc11430e2e84db8b57,2020-08-05,2021-03-04,1,0
22,b96316f3-1cc1-3820-bccc-a85636351875,http://heatherwahl.com/HJGv7hg,2020-08-05,2021-03-04,1,0
23,11684dc9-221a-3445-8592-766562731230,90421f8531f963d81cf54245b72cde80,2020-08-05,2021-03-04,1,0
24,ab4a23d5-d718-3697-b831-e3bddda225c1,107.181.246.213,2020-08-05,2021-03-04,3,0
25,8ed107b2-4671-39df-93d7-4347bef76c98,190.34.158.250,2020-08-05,2021-03-04,4,0
26,f08f8d26-45de-36b4-a09e-130ffa674167,c044f4a710f3a0b1997a4470145677ea,2020-08-05,2021-03-04,1,0
27,b6f88cbc-cc38-3868-a2ac-b28a7104b8af,675119986b6df9441fbed1e6a8ae9da5,2020-08-05,2021-03-04,1,0
28,36f8e99f-06f5-3388-b87b-7de961dd9131,196a25d3bfb97f0963e3d88f3095bf1f,2020-08-05,2021-03-04,1,0
29,453dd940-c5bd-3b7d-a8e2-1c2c07650125,paypalmessage39.ml,2020-08-05,2021-03-04,1,0
30,a9a01106-c23f-344d-9037-55f2d2ab2757,85aa020ab222e8f8aa7dd0ed9254ecfd,2020-08-05,2021-03-04,1,0
31,30c19bdb-6c69-3246-b613-e35842556585,6c877cdf56fba7b16f6e15d822163bea,2020-08-05,2021-03-04,1,0
32,05aade14-03a4-3cf7-8e69-a6855f3811cc,a91fd34a43fc3468ba5072b2439ad187,2020-08-05,2021-03-04,1,0
33,7de719c6-2285-3384-8208-8a6f7ee7284e,bd79db0f9f8263a215e527d6627baf2f,2020-08-05,2021-03-04,1,0
34,59adce82-7adc-33a7-a5a3-6c5b8566d250,da3bf45d0eeb073ef0c323ad136e1f25,2020-08-05,2021-03-04,1,0
35,c43f12af-dfb0-32c4-a48c-361c7c4be290,f398aef45550f1351cecebef406e3990,2020-08-05,2021-03-04,1,0
