,id,value,first_seen,last_seen,relationship_count,detections_count
0,1ffd15c1-147a-3c8d-8513-254e0685129c,vbc.exe,2020-08-27,2021-03-04,40,6
1,eb3932cc-bfeb-330f-b9c0-f87ea6acfa6f,1c180aec95fba818cf1be71c20c20e5e,2020-08-26,2021-02-11,15,0
2,965b53c7-94dd-36f4-b782-2f9a2ebe9b3f,785fb441663997067c0126c5574423d01242220e107db86c847ad8ea30752729,2020-08-31,2021-02-11,11,0
3,ab8f5956-7558-3fc6-995c-965de112f43f,2ea466cc524180cd51c995947f11a64f6bc9d6ce,2020-09-04,2020-09-04,3,0
4,aa40c51c-8f53-3ae1-a9b4-c5cfa5784b15,WMVDECOD.exe,2020-09-04,2020-09-04,5,0
5,a82abb69-8947-39fb-9dad-c16005e24a46,7c4143774e2baaacbe27c58bc26d4d1e,2020-09-08,2020-09-09,3,0
6,a0d4b62e-9264-3383-9036-04ef59a7d443,DHL Tracking No 524057031.img,2020-09-08,2020-09-09,6,0
7,877d96fc-94e9-3145-92f1-c8a81c67c117,760e6097e282577932f3c720dce2954def2db6c4c67b79336b5628b5a8fc3448,2020-09-08,2020-09-09,3,0
8,bc6f1f7a-f712-3640-bd45-9e762fe10c04,1c0198736bdc344d757d4ad125a893d7d1b1a22f14b8235776cde801b4b97cda,2020-09-08,2020-09-09,3,0
9,806376ae-416e-390e-a4c0-c3f3a44093e8,f263291ead037a9d4d46cc72088d2892b7d0b8f2,2020-09-08,2020-09-09,3,0
10,485b0cee-c793-3118-8b2f-d86e65da7191,mail.hybridgroupco.com,2020-09-08,2020-09-09,1,0
11,be919cef-8114-3783-95dd-9e141885f2c6,cbdedbe7f00a8dcb11b3c5e96dc5be7c,2020-09-04,2020-09-04,4,0
12,5dd09675-07e0-3ee4-9e19-9fd407da23ad,Swift copy.exe,2020-09-08,2020-09-09,6,0
13,67c1d5bc-40da-3827-970b-49218a346e1f,499d39d970b096d3e7b2988c83bb4310,2020-09-08,2020-09-09,3,0
14,9d44c5da-b519-3c0d-9b8b-f2c9b5e70478,27aed3fcd727385b398ff3ada702d0e9198541b6b45cefccb22856866b1b1626,2020-09-11,2021-02-11,7,0
15,8e6b8a83-2ce5-3bde-b9de-dbbdb0829449,d131c464871190f0110952675e1cd52e,2020-08-28,2020-12-21,10,0
16,7a77db49-ecd7-3f73-ae26-fe1f04e602ed,b53613fe037b4560c24135bffc6c8b958b7710f4,2020-09-04,2020-09-04,3,0
17,c1fe7db5-0dfe-32ea-8200-d01113af5332,9b49495ecd82a7ba827519635ab4bad1,2020-09-04,2020-09-04,3,0
18,c70f404e-1eff-3da5-a20b-1d809cb92989,ef06034d22005230f00930751148c024,2020-09-04,2020-09-04,3,0
19,417683cb-9593-3bfe-9761-7e2675b373a9,http://niokolo.com/0-Accueil_ALBUMS/ua/,2020-09-04,2020-09-04,1,0
20,af3814e5-61dd-318c-b359-eb18314d5cab,http://www.agenciahandsup.com.br/wp-admin/includes/files/fr.exe,2020-09-04,2020-09-04,1,0
21,bd22bffe-084c-3237-bd6c-84ca4704a4c4,c9cacac43b94869602e07313a114c755,2020-09-04,2020-09-04,3,0
22,9e652d2d-bfd3-3720-a9af-07b28cea4670,http://mmxiv.org/wp-snapshots/hwC/,2020-09-04,2020-09-04,1,0
23,7b0a9338-e755-33dd-a6fd-cd13c21ceeeb,5ec2f8b33d236c9592d739ab68603e2642f999ba,2020-09-04,2020-09-04,3,0
24,45117467-347e-351f-a4e6-3f50c1244c1a,7d9dba8a41da380eae6e609b88dd58424361e583eb60f699fe9424bc9a6982ec,2020-09-04,2020-09-04,3,0
25,07d62d82-a36f-30ea-ade9-d89e02ac8cdd,848f8e5de4c5a719198ff20f8495ab30d774a0c2,2020-09-04,2020-09-04,4,0
26,af0620da-92a6-328b-b0bc-51dc7e4280ad,http://195.69.140.147/.op/cr.php/S7zr5v1fXI3Rb,2020-09-04,2020-09-04,1,0
27,a2f17478-0810-3419-b458-8f7231bfb98c,Акт сверки ГМК Норильский Никель - 14 августа 2020 года (4).exe,2020-08-14,2020-08-14,10,0
28,ebfd7c15-4c7f-3386-aa79-5401bb56b2fc,PO 563432- wholesale purchase request.xlsx,2020-09-04,2020-09-04,6,0
29,b0fd9b94-52b9-3977-a3bf-f19471614e59,7bce9b2c788a4599000c2c1c53f2bc9be6c6e06b,2020-08-14,2020-08-14,3,0
30,05cfb8a3-4039-3b4a-a4cd-4ec3ec51d946,https://185.215.227.107/WzOZGxh6WT/wJ9NOAh/k56uBJZik1D4QW0Ta/HrFO5oAA/TdMspkam8n3qPmLRzjs/,2020-09-04,2020-09-04,1,0
31,b37201fe-7474-35f6-b734-105972da1443,699e9c49cddbcccfa59e80655673a41d763eae2d910891f07e66a160c9545279,2020-08-14,2020-08-14,3,0
32,c25d0e4d-e0ac-3347-baa9-0e40428abac2,http://mutationcovert.com/yes/Hztnokd_Signed_.exe,2020-09-10,2020-09-10,1,0
33,aa245114-749d-3103-ad0b-9e5a5f53e49b,eb426fb71c563acb5f573010be864c16a10c63f7653c57fa259dbdde29b8bbea,2020-08-12,2021-02-11,11,0
34,89d2b480-11cc-3adb-b9ae-2d121e95d974,174dd11aaeba00ad704d4ba4e668f9f971a8d3dc,2020-09-04,2020-11-05,6,0
35,36f27420-9b75-3351-838b-e62288966314,95545c451dcbea29bae8b897e1e6dfbf,2020-09-10,2020-09-10,3,0
36,b85e3d9d-64d2-368b-8665-58c8a4cde93c,d6d357ac93bd9e09c5c8083cf724465ce5926f47,2020-08-19,2021-02-11,6,0
37,faf46a88-776b-3c6a-94e2-6bfce3638df8,185.129.62.62,2020-08-05,2021-02-12,2,0
38,00049b45-4c35-3af2-bb98-e0ef89fa6646,bigmoneyboss.xyz,2020-09-10,2021-02-11,4,0
39,b02d2560-b880-3483-bea6-88554561362b,44825d9f8aad60efda30a7a72503522193d66bcb,2020-09-10,2020-09-10,3,0
40,f6515316-78ab-375a-a879-04f4ae4cf849,http://www.pauwstoffering.nl/pqwwmqzgjot/55555555.png,2020-09-10,2020-09-10,1,0
41,f5d642fa-60e7-3d0e-82e8-f36875af6712,http://gooddns.ir/arnoldx/arnoldx.exe,2020-09-10,2020-09-10,1,0
